batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
496,12,26,50,4,1,2248218.7299999995,51953.57738,4180181.56,92113.17416000001
840,8,12,42,8,1,2382233.23,56011.18376,3023390.1100000003,70684.67596
49,7,23,62,8,1,366609.81,8380.26214,637683.84,15991.279299999995
1908,2,11,35,3,3,82278.84,2483.2108599999997,601708.63,16515.80952
1357,15,6,13,4,3,78882.24999999999,2623.75154,78768.67,2342.72428
1854,15,14,63,4,3,3286703.62,78278.84376,4319335.26,96766.37393999999
976,13,50,31,4,3,641318.5099999999,16535.598640000004,902258.3699999999,22945.427279999996
1911,12,29,18,4,3,272703.71,8007.7314799999995,447197.38,12568.778119999999
682,13,21,29,6,1,1161914.1,26480.849059999997,1730657.1199999999,39791.37118
200,7,14,51,4,1,302327.11,6836.174780000001,866159.25,19792.047119999996
1620,2,10,60,4,2,656607.27,15735.52548,2492301.3400000003,58374.0916
743,6,5,39,8,2,260183.59,8070.01182,328953.62,9505.251
1086,13,29,41,4,3,933292.9299999999,23359.95974,1455716.4,34047.53546
1138,13,11,8,4,1,55936.13999999999,1863.99088,79696.42,2387.0298
87,9,10,52,3,2,81186.28,2458.94814,130398.87000000004,3705.632780000001
1121,8,8,49,7,2,1175614.6700000002,33801.40476,862509.3800000001,22907.2974
102,4,11,41,8,2,58224.89,1686.4932399999998,95207.9,2581.48998
209,3,34,33,3,2,36625.88,1228.86328,133743.61,3978.6637200000005
58,8,23,26,4,3,16597.190000000002,527.2581600000001,31186.4,961.70332
1409,11,24,51,7,3,2165084.8400000003,51508.32768,2715668.0700000003,61251.10347999999
741,13,54,28,4,2,641223.3499999999,14953.430540000001,1163851.4200000002,27640.56618
1798,9,50,61,4,1,18943599.59,383699.07572,36915632.45,776017.6365799999
815,8,38,19,6,3,92940.42000000001,2941.5827,116336.34,3335.9710400000004
1991,6,3,34,3,2,172674.8,5296.421359999999,465335.7199999999,13546.01864
612,15,45,42,5,3,829316.75,21365.38012,1018348.18,25488.3683
1294,5,26,38,5,3,206708.48,5468.499019999999,853818.0199999999,22113.08066
1485,14,21,42,6,3,1611503.43,41379.844480000014,2069040.1600000001,49740.5005
1977,15,54,55,8,3,7348111.05,179500.2687,8775855.809999999,200640.67281999998
