batch_size,k_side_length,stride,in_chan,im_side_length,for_energy,for_time,back_energy,back_time
986,2,3,4,96,630639.8600000001,14276.158179999999,0.0,0.0
1393,6,1,10,72,28661816.26,682044.0857599999,0.0,0.0
551,7,1,21,52,14257484.210000003,339233.32084000006,0.0,0.0
1653,6,3,21,88,13825991.8,299085.03288,0.0,0.0
584,8,2,7,98,5977787.380000001,141750.35004000002,0.0,0.0
1006,9,2,23,73,20443777.57,450008.8654,0.0,0.0
1597,5,2,31,51,10945008.02,252063.10434,0.0,0.0
1626,3,2,9,91,6248497.220000001,138447.32439999998,0.0,0.0
64,5,1,26,94,5285806.76,149901.84934000002,0.0,0.0
322,4,1,16,57,4149658.5800000005,98625.11759999998,0.0,0.0
1535,2,1,25,80,28741340.639999997,623084.6905799999,0.0,0.0
1446,9,3,15,58,4985996.14,123980.23816,0.0,0.0
1063,4,3,22,85,5634293.370000001,125243.80132,0.0,0.0
843,7,3,4,65,828476.17,25655.568620000002,0.0,0.0
853,3,1,21,73,16776625.750000004,392433.643,0.0,0.0
366,2,3,26,66,748297.6799999999,16502.20402,0.0,0.0
1399,4,1,21,85,51429812.8,1073123.8452799998,0.0,0.0
1356,4,3,13,82,4005921.7800000003,94347.19029999999,0.0,0.0
804,4,3,19,72,2447897.17,57567.763139999995,0.0,0.0
1112,3,3,28,78,5016895.75,109553.91166000001,0.0,0.0
1235,8,3,31,87,20050653.6,439963.69081999996,0.0,0.0
481,9,2,22,91,14937190.89,336540.67988000007,0.0,0.0
907,7,1,17,98,74233453.75,1556981.06294,0.0,0.0
1250,2,1,3,50,1174478.81,34721.56247999999,0.0,0.0
1181,8,1,19,50,27918182.93,660147.2080200001,0.0,0.0
1498,6,1,17,82,70977452.08000001,1482543.53292,0.0,0.0
676,6,3,11,71,1733252.4400000002,41515.32726,0.0,0.0
2043,8,3,24,58,9821241.94,231299.15383999998,0.0,0.0
127,3,3,5,85,116322.89000000001,3028.94232,0.0,0.0
748,2,1,25,78,13500044.830000002,308081.8171,0.0,0.0
191,6,1,30,52,6054994.260000001,159842.82867999998,0.0,0.0
631,9,1,21,81,57078755.18000001,1229064.9281000001,0.0,0.0
273,6,3,20,59,857978.8,21462.738579999997,0.0,0.0
1357,5,1,4,53,5214348.890000001,149312.42858,0.0,0.0
1707,8,3,22,89,20803803.54,442319.13256,0.0,0.0
990,2,2,18,51,1679334.6900000002,39865.347180000004,0.0,0.0
71,8,2,7,81,529666.5700000001,15737.801420000003,0.0,0.0
1232,3,1,3,81,4655810.86,123148.64771999998,0.0,0.0
1998,2,2,27,54,5692999.9399999995,129359.72954000001,0.0,0.0
1552,2,1,4,88,6327702.930000001,176982.44948000004,0.0,0.0
448,8,1,25,56,18673787.080000006,429147.6447999999,0.0,0.0
1269,4,1,5,75,9052943.690000001,248862.04924000002,0.0,0.0
1420,7,2,24,69,20316547.74,451105.93269999995,0.0,0.0
1237,7,1,31,59,61140784.63000001,1280982.77988,0.0,0.0
1126,5,2,16,66,6639565.5600000005,151577.57054000002,0.0,0.0
1802,7,3,29,78,18001553.619999997,380931.69486000005,0.0,0.0
838,8,2,27,84,23536790.33,518272.43659999996,0.0,0.0
505,4,2,7,84,1745030.27,40952.93112,0.0,0.0
674,8,2,21,98,20468223.990000002,453102.68574,0.0,0.0
1088,3,2,18,97,9568126.139999999,203752.10272,0.0,0.0
1807,9,2,21,79,39951723.28,840868.3988,0.0,0.0
1473,8,3,24,64,8823483.91,204137.42512000003,0.0,0.0
1799,2,1,26,74,30199703.0,649780.9664799998,0.0,0.0
869,5,2,29,79,13752169.38,293177.07998000004,0.0,0.0
772,4,3,20,97,4731181.76,100695.69408000002,0.0,0.0
658,6,2,24,78,10255068.34,239888.13034,0.0,0.0
1117,3,3,28,94,7010051.640000001,150068.00355999998,0.0,0.0
1902,4,3,16,84,6872764.3500000015,157297.6689,0.0,0.0
382,5,3,23,84,2488168.03,58672.590159999985,0.0,0.0
440,8,1,13,57,9922647.889999999,238530.30016,0.0,0.0
1985,3,3,3,63,603101.5199999999,19351.46518,0.0,0.0
416,7,2,17,50,2091263.5900000003,53303.667440000005,0.0,0.0
770,2,3,16,72,1094494.2799999998,24632.24004,0.0,0.0
293,6,3,14,87,1541771.0300000003,37798.51444,0.0,0.0
1669,3,2,18,84,10395150.919999998,239557.83488000004,0.0,0.0
734,8,2,18,93,16802123.110000003,387715.2967,0.0,0.0
807,9,3,12,77,4136800.960000001,99047.75068,0.0,0.0
1602,2,2,4,59,741931.67,23298.4796,0.0,0.0
874,6,3,28,95,10961118.790000001,238784.45461999997,0.0,0.0
390,9,2,10,73,3504146.34,87696.22004000001,0.0,0.0
1338,9,1,13,67,48921082.06,1051618.78772,0.0,0.0
632,3,3,17,60,966483.1599999999,21977.529799999997,0.0,0.0
1341,7,1,7,53,11697513.95,319756.57594,0.0,0.0
152,7,2,20,89,3167551.7499999995,84678.9354,0.0,0.0
1635,9,1,15,90,130468271.97000003,2667054.78998,0.0,0.0
832,6,2,20,85,12999394.81,294598.01686000003,0.0,0.0
1212,4,1,28,89,64890856.86,1332222.07598,0.0,0.0
889,3,3,3,97,642555.01,20015.81682,0.0,0.0
1106,3,3,22,71,3040272.41,66548.69912,0.0,0.0
1524,9,3,23,98,26169349.47,558663.2376400001,0.0,0.0
591,2,3,12,89,979609.8399999999,21259.0069,0.0,0.0
1271,5,1,14,85,43257453.35999999,918795.43738,0.0,0.0
98,3,3,12,52,73625.34,2664.91742,0.0,0.0
644,5,1,6,84,9356967.58,212680.10369999995,0.0,0.0
1556,5,3,6,59,1363423.61,44010.02162,0.0,0.0
935,3,2,20,73,5091850.4,117830.53099999999,0.0,0.0
929,7,1,3,60,4794348.659999999,141746.85025999998,0.0,0.0
337,7,3,8,90,1285774.93,31640.682500000003,0.0,0.0
382,8,1,25,82,36615324.38,829128.7868400001,0.0,0.0
893,7,2,18,64,7813714.720000001,193758.81069999997,0.0,0.0
