batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
1811,14,46,51,5,2,9052566.02,86786.14392000002,12523772.860000001,136962.02938
276,13,49,50,7,2,2311766.52,24079.3389,2341168.3800000004,26790.39776
67,12,31,48,3,1,326246.69999999995,2609.2353200000002,624854.4,5590.650159999999
334,6,41,31,3,3,37184.95999999999,497.64876000000004,172743.74,1396.3423200000002
214,13,62,56,3,2,1136492.4,10722.382959999999,1969536.0,20055.982240000005
611,15,21,24,5,3,179809.14000000004,1666.8288,318153.48,2134.263
1368,4,38,53,7,2,3233967.5599999996,28869.848799999996,7411428.819999998,76738.9696
251,14,35,27,5,2,254779.58,2168.5534199999997,342773.77999999997,2841.4464799999996
1990,5,6,54,4,2,1011548.8200000001,7514.016260000001,3419824.0800000005,25496.724280000002
156,11,11,28,6,3,62378.979999999996,501.82108,71262.04000000001,671.87974
1729,1,9,22,8,1,178987.61999999994,1735.0579400000001,1245958.66,13074.5095
1734,14,60,11,3,1,797379.58,7625.115059999999,1574878.7,15317.735239999998
1692,3,17,40,5,3,281022.2,2063.88506,666437.5999999999,4814.00994
1269,3,26,8,8,1,8183.619999999998,154.06555999999998,30727.380000000005,334.80888
1389,6,21,30,3,3,173695.82,1451.24244,753600.4,5741.96432
346,5,15,18,8,3,10665.24,223.52524000000003,45782.36,496.9129
1252,5,1,11,7,3,6534.42,209.30501999999996,21745.58,358.60712
1256,12,22,10,7,3,35615.14,644.1516799999999,132632.8,1100.1963200000002
762,7,36,61,3,3,1101360.6400000001,8520.34274,3052936.5000000005,23969.146180000003
374,6,4,27,6,1,153080.7,1689.35734,197735.06,1751.6249600000003
540,15,23,50,6,1,4885114.4799999995,53729.2528,6894162.08,81421.30836
1809,9,19,45,6,1,13051852.6,136510.46574,16996317.52,200280.47566
206,10,57,55,5,2,1410859.4,14291.13426,2042569.2000000004,22859.916319999997
860,3,39,38,4,3,179925.06,1589.09336,606385.24,4796.63944
967,2,48,23,4,2,123042.93999999999,1178.4526,665586.7,5732.94518
1900,4,51,14,5,1,772938.62,7591.488620000001,1951428.1199999999,19549.62776
312,6,51,24,3,2,37285.060000000005,558.6018000000001,197849.75999999998,1575.65922
1282,15,9,43,8,2,3658956.6,30215.113320000004,3859455.56,36348.56828000001
224,13,14,50,6,1,1429746.1599999997,13296.997899999998,1761527.4400000002,19429.350759999994
119,2,42,23,7,1,42051.90000000001,646.03846,252033.05999999997,2557.29554
1987,9,48,52,5,3,6514130.0200000005,56123.746940000005,8630755.52,82585.68299999999
1832,9,36,41,4,1,11451624.819999998,122089.40827999997,17358075.559999995,204148.65142
1230,10,15,21,7,2,479554.54000000004,4077.25192,594062.1199999999,5277.70746
1631,11,19,49,3,3,3044569.9000000004,23254.393959999998,4161783.7600000002,33029.4254
1686,13,16,61,4,3,4538051.14,39467.81756,5906677.960000001,55834.031460000006
271,9,6,26,6,3,48884.18000000001,632.34524,58653.4,618.22082
1514,14,58,29,8,3,2893754.8,26632.67466,3084632.0800000005,31431.842340000003
507,1,56,29,8,1,754379.2799999999,8330.727640000001,3392350.8200000003,37418.98856
470,9,20,39,7,1,3336339.12,38823.27882,3662699.3200000003,44495.42352
817,9,55,36,5,1,5885043.539999999,68172.14154000001,9604549.440000001,114413.77607999998
334,13,5,61,5,1,2211091.68,22067.48892,2276809.38,27639.131520000006
1538,15,60,52,5,1,25428736.1,315741.62185999996,42259313.160000004,533603.9675
113,10,41,47,6,1,1739563.42,17955.1394,2091864.8,26449.78998
82,4,3,42,4,3,37474.24,578.5749800000001,32344.940000000002,508.9551799999999
1318,8,58,19,3,2,366086.78,2953.53058,1030439.1600000001,8073.566100000001
329,10,54,45,6,1,5078125.5200000005,58824.56174,7061974.0200000005,88919.33942
969,12,57,45,7,1,19883468.44,250069.14138000002,24559631.880000003,335558.71672
349,14,46,23,6,1,1000881.2200000001,9132.0624,1232749.56,13315.677479999998
652,2,13,31,5,2,46862.64,568.85242,310277.5,2766.8562599999996
813,1,54,41,4,2,779592.8200000001,8094.447739999999,2851932.2800000003,28209.94032
240,5,50,42,6,1,1536039.8,15968.899020000003,3173353.6999999997,37034.88256
1019,3,37,16,7,1,273445.34,2330.8748000000005,468264.18,4156.76948
655,5,21,43,8,3,288284.18,2199.14488,835946.36,7336.30348
751,8,11,9,4,3,8681.62,178.94574000000003,35779.979999999996,322.53873999999996
1809,12,12,14,8,2,320986.76,2662.99908,329383.98000000004,2788.47812
1538,1,50,48,4,1,7102004.5200000005,69861.6061,22234679.420000006,262444.50920000003
1968,5,57,56,7,2,7890328.859999999,78302.92926000002,16087309.9,194124.0747
436,6,10,41,7,2,240609.78000000003,1878.0885999999998,573099.1,5058.0860999999995
1140,1,35,9,6,3,10646.939999999999,170.78228000000001,48878.00000000001,675.7689199999999
1781,8,60,39,7,2,6409621.0200000005,62832.316340000005,7939602.519999999,82443.91076
1672,14,54,29,7,2,4457057.619999999,45986.63765999999,5003375.86,53651.52096000001
1865,7,1,38,8,2,1140981.0,8936.09818,1532527.72,11922.77008
1007,8,23,41,3,1,2701221.2,24214.010159999998,5278355.659999999,54514.43854
1947,2,31,29,4,3,133286.96000000002,1454.48516,1216038.22,9402.505159999999
1174,15,37,41,3,3,1879732.8199999998,14716.714760000003,2826875.0999999996,21136.14334
159,7,29,17,8,1,102076.14,862.97632,178355.18000000002,1054.21976
1931,6,9,14,6,2,39643.46,797.35878,217091.74,1431.17468
1744,11,55,51,8,2,15511930.52,181339.47856,18170322.099999998,215543.96455999993
666,2,21,36,4,3,22557.32,472.71165999999994,310168.88,2499.32154
480,12,46,22,7,2,473608.44000000006,4225.59334,498812.3,4992.522620000002
1493,5,20,53,7,3,1170960.16,8648.328539999999,3169117.92,26548.658600000002
1976,10,19,49,7,2,8422890.999999998,83770.47887999998,8603665.72,93980.74003999999
396,8,46,35,4,3,192377.50000000003,1506.43622,393090.96,3156.1422399999997
543,15,27,13,6,2,79367.44,859.6702799999999,131649.96,1071.6067600000001
1309,10,47,10,3,3,28912.239999999998,580.80694,131972.34000000003,933.80422
1368,13,8,20,3,3,318519.62,3138.0731799999994,533610.7,4370.303860000002
1889,3,3,12,5,3,10745.8,306.571,26956.72000000001,405.18682
390,6,21,37,6,3,105247.48000000001,810.6520999999999,279236.42000000004,1946.4446400000002
168,8,13,59,3,2,129740.92000000001,1140.9577199999999,424322.62,2903.7583200000004
